Code,cycles,P25_min,P50_min,P75_min
002609.SZ,19,6465.235008333333,14407.305166666667,33098.173825
002610.SZ,29,1440.02665,4308.996166666667,5752.262333333333
002611.SZ,13,1441.2653333333333,21602.12285,56156.1545
002612.SZ,26,5360.904966666667,14412.108666666667,21260.186583333336
002613.SZ,19,8728.644683333332,15827.432816666667,34463.959833333334
002614.SZ,21,10017.396666666667,11544.310816666666,34577.30948333333
002615.SZ,7,2877.5933333333332,10077.82615,20165.87458333333
002616.SZ,20,6832.0453375,20166.208916666666,35637.026
002617.SZ,16,8995.9827625,16566.731741666666,42839.099
002620.SZ,54,2867.5022041666666,5793.282825,11157.288045833333
002621.SZ,23,1437.388075,2882.168183333333,6473.778491666667
002622.SZ,77,1440.754,5734.3915,8633.885816666667
002623.SZ,30,5816.446616666667,10811.287416666666,25485.021420833335
002624.SZ,13,18711.180483333334,23247.8965,47519.03531666667
002625.SZ,5,1528.3563166666668,8637.779833333334,121021.68516666666
002626.SZ,2,5951.033708333333,9292.810249999999,12634.586791666667
002627.SZ,5,2872.954833333333,10071.268333333333,13160.336016666666
002628.SZ,48,2887.2932083333335,7179.5331,13305.881416666667
002629.SZ,84,1442.111275,4311.576091666667,7196.3767125
002630.SZ,49,1442.059,5743.512166666666,8635.750816666667
002631.SZ,5,11468.424666666666,20256.563683333334,40317.77781666667
002632.SZ,9,1440.0078333333333,8642.929,20210.181483333334
002633.SZ,28,7202.178904166667,10085.219825,19804.966945833334
002634.SZ,5,2875.1013166666667,4300.799016666667,4305.621166666667
002635.SZ,2,18705.548291666666,28760.451416666667,38815.35454166667
002636.SZ,17,7200.5295166666665,11599.742183333334,30222.504166666666
002637.SZ,16,3857.992570833333,10812.688833333334,30116.559133333332
002638.SZ,83,1443.5280833333334,4014.5139833333333,8617.109083333333
002639.SZ,14,11871.874004166668,17244.150825,44264.0095
002640.SZ,96,1439.9833041666666,4283.771241666667,7193.521541666667
002641.SZ,1,10057.799333333332,10057.799333333332,10057.799333333332
002642.SZ,35,5071.659908333333,10079.411333333333,19421.881416666663
002643.SZ,17,7242.279,15826.254833333332,30455.902316666667
002644.SZ,7,4328.196841666667,8652.4255,22299.478241666664
002645.SZ,9,2883.7038333333335,8721.770666666667,15837.36115
002646.SZ,14,7675.416420833333,10835.6605,19085.61275
002647.SZ,9,8635.27665,20154.629666666668,27368.168316666666
002648.SZ,1,7.495666666666667,7.495666666666667,7.495666666666667
002649.SZ,22,3186.9288166666665,9350.481500000002,19090.14825
002650.SZ,73,1438.071,2869.391166666667,7196.883833333333
002651.SZ,21,7168.603833333334,14169.496,21642.4195
002652.SZ,50,2875.8554583333334,5745.740658333334,9702.306166666667
002653.SZ,14,5915.928183333333,30339.19690833333,41411.609033333334
002654.SZ,25,8620.866666666667,11518.697683333334,28775.63835
002655.SZ,27,5763.454925,10055.459483333334,26626.368916666666
002656.SZ,8,1353.41995,3466.132008333333,4292.164208333334
002657.SZ,12,1440.2446375,3603.1724249999997,8282.396875
002658.SZ,15,3606.970841666667,13047.50565,27351.02015
002659.SZ,15,5038.54,8646.7705,10074.938508333333
002660.SZ,9,7214.000333333333,12991.17385,27312.691666666666
